"Title","RPI: Percentage change over 1 month - Cheese"
"CDID","SGFU"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","%"
"Release date","15-09-2021"
"Next release","20 October 2021"
"Important notes",
"1988","6.3"
"1989","5.6"
"1990","5.4"
"1991","1.8"
"1992","9.1"
"1993","7.9"
"1994","0.9"
"1995","6.9"
"1996","5.8"
"1997","2.8"
"1998","-3.7"
"1999","-1.5"
"2000","-1.3"
"2001","4.0"
"2002","1.2"
"2003","1.1"
"2004","2.3"
"2005","1.2"
"2006","1.7"
"2007","2.7"
"2008","15.2"
"2009","3.9"
"2010","1.9"
"2011","5.7"
"2012","3.5"
"2013","0.4"
"2014","4.1"
"2015","-3.0"
"2016","-3.2"
"2017","1.4"
"2018","1.3"
"2019","-1.2"
"2020","-0.7"
"1987 FEB","-0.1"
"1987 MAR","0.2"
"1987 APR","-0.7"
"1987 MAY","0.8"
"1987 JUN","0.2"
"1987 JUL","0.6"
"1987 AUG","0.0"
"1987 SEP","-0.2"
"1987 OCT","0.7"
"1987 NOV","1.0"
"1987 DEC","-0.1"
"1988 JAN","1.8"
"1988 FEB","0.5"
"1988 MAR","1.2"
"1988 APR","0.6"
"1988 MAY","0.2"
"1988 JUN","0.1"
"1988 JUL","0.3"
"1988 AUG","-0.2"
"1988 SEP","1.3"
"1988 OCT","0.7"
"1988 NOV","0.5"
"1988 DEC","-0.6"
"1989 JAN","1.1"
"1989 FEB","0.3"
"1989 MAR","0.0"
"1989 APR","0.6"
"1989 MAY","-0.4"
"1989 JUN","0.5"
"1989 JUL","0.6"
"1989 AUG","0.7"
"1989 SEP","2.1"
"1989 OCT","1.5"
"1989 NOV","0.7"
"1989 DEC","-0.2"
"1990 JAN","0.7"
"1990 FEB","0.1"
"1990 MAR","-0.3"
"1990 APR","-1.6"
"1990 MAY","3.1"
"1990 JUN","0.2"
"1990 JUL","0.2"
"1990 AUG","0.2"
"1990 SEP","0.2"
"1990 OCT","-1.9"
"1990 NOV","0.7"
"1990 DEC","-0.3"
"1991 JAN","0.8"
"1991 FEB","0.1"
"1991 MAR","-0.2"
"1991 APR","0.8"
"1991 MAY","-0.4"
"1991 JUN","1.6"
"1991 JUL","-1.5"
"1991 AUG","1.2"
"1991 SEP","-1.2"
"1991 OCT","2.0"
"1991 NOV","0.5"
"1991 DEC","-0.2"
"1992 JAN","2.8"
"1992 FEB","1.6"
"1992 MAR","1.1"
"1992 APR","0.0"
"1992 MAY","2.3"
"1992 JUN","0.8"
"1992 JUL","-1.1"
"1992 AUG","0.8"
"1992 SEP","0.5"
"1992 OCT","0.1"
"1992 NOV","0.8"
"1992 DEC","-0.4"
"1993 JAN","0.9"
"1993 FEB","2.7"
"1993 MAR","1.4"
"1993 APR","0.8"
"1993 MAY","0.9"
"1993 JUN","-0.1"
"1993 JUL","-0.1"
"1993 AUG","0.6"
"1993 SEP","0.0"
"1993 OCT","-0.3"
"1993 NOV","-0.1"
"1993 DEC","-1.3"
"1994 JAN","1.8"
"1994 FEB","-0.4"
"1994 MAR","-0.1"
"1994 APR","0.1"
"1994 MAY","0.3"
"1994 JUN","-0.1"
"1994 JUL","-0.7"
"1994 AUG","-0.6"
"1994 SEP","0.6"
"1994 OCT","0.1"
"1994 NOV","0.7"
"1994 DEC","0.6"
"1995 JAN","1.6"
"1995 FEB","1.2"
"1995 MAR","1.9"
"1995 APR","-2.9"
"1995 MAY","3.3"
"1995 JUN","1.0"
"1995 JUL","0.6"
"1995 AUG","0.6"
"1995 SEP","-0.8"
"1995 OCT","2.4"
"1995 NOV","0.4"
"1995 DEC","-0.1"
"1996 JAN","0.6"
"1996 FEB","0.4"
"1996 MAR","0.9"
"1996 APR","-0.2"
"1996 MAY","0.9"
"1996 JUN","-0.7"
"1996 JUL","-0.8"
"1996 AUG","2.5"
"1996 SEP","-0.1"
"1996 OCT","-1.9"
"1996 NOV","3.0"
"1996 DEC","-1.2"
"1997 JAN","0.4"
"1997 FEB","-0.8"
"1997 MAR","2.3"
"1997 APR","-0.7"
"1997 MAY","1.4"
"1997 JUN","0.1"
"1997 JUL","-0.5"
"1997 AUG","0.8"
"1997 SEP","-0.1"
"1997 OCT","-0.2"
"1997 NOV","-1.4"
"1997 DEC","-0.1"
"1998 JAN","0.0"
"1998 FEB","-2.2"
"1998 MAR","-0.2"
"1998 APR","-0.9"
"1998 MAY","0.3"
"1998 JUN","-0.2"
"1998 JUL","-0.4"
"1998 AUG","-0.1"
"1998 SEP","0.6"
"1998 OCT","-0.6"
"1998 NOV","0.2"
"1998 DEC","-1.3"
"1999 JAN","1.1"
"1999 FEB","-0.5"
"1999 MAR","0.9"
"1999 APR","0.2"
"1999 MAY","-0.6"
"1999 JUN","-0.1"
"1999 JUL","-1.1"
"1999 AUG","-0.2"
"1999 SEP","-0.4"
"1999 OCT","-0.1"
"1999 NOV","-0.4"
"1999 DEC","0.6"
"2000 JAN","-0.7"
"2000 FEB","0.0"
"2000 MAR","1.2"
"2000 APR","-0.6"
"2000 MAY","0.4"
"2000 JUN","-0.2"
"2000 JUL","-1.5"
"2000 AUG","1.4"
"2000 SEP","0.1"
"2000 OCT","-0.4"
"2000 NOV","-0.1"
"2000 DEC","-0.1"
"2001 JAN","1.0"
"2001 FEB","0.9"
"2001 MAR","0.4"
"2001 APR","-0.5"
"2001 MAY","0.9"
"2001 JUN","1.1"
"2001 JUL","1.7"
"2001 AUG","0.8"
"2001 SEP","-1.1"
"2001 OCT","0.5"
"2001 NOV","0.4"
"2001 DEC","0.7"
"2002 JAN","-0.7"
"2002 FEB","-0.2"
"2002 MAR","-0.4"
"2002 APR","-0.1"
"2002 MAY","-0.2"
"2002 JUN","0.7"
"2002 JUL","-0.5"
"2002 AUG","-0.7"
"2002 SEP","0.4"
"2002 OCT","-0.3"
"2002 NOV","-0.6"
"2002 DEC","0.6"
"2003 JAN","0.4"
"2003 FEB","0.4"
"2003 MAR","0.5"
"2003 APR","0.1"
"2003 MAY","-1.0"
"2003 JUN","0.2"
"2003 JUL","0.4"
"2003 AUG","0.3"
"2003 SEP","1.0"
"2003 OCT","0.4"
"2003 NOV","1.0"
"2003 DEC","0.2"
"2004 JAN","0.3"
"2004 FEB","0.6"
"2004 MAR","0.4"
"2004 APR","-0.1"
"2004 MAY","-0.5"
"2004 JUN","-0.7"
"2004 JUL","0.1"
"2004 AUG","-1.2"
"2004 SEP","0.4"
"2004 OCT","-0.2"
"2004 NOV","0.7"
"2004 DEC","0.2"
"2005 JAN","0.4"
"2005 FEB","-0.6"
"2005 MAR","0.9"
"2005 APR","-0.3"
"2005 MAY","-0.1"
"2005 JUN","0.8"
"2005 JUL","-0.1"
"2005 AUG","1.2"
"2005 SEP","0.6"
"2005 OCT","-0.7"
"2005 NOV","1.0"
"2005 DEC","0.5"
"2006 JAN","0.2"
"2006 FEB","-1.0"
"2006 MAR","-0.1"
"2006 APR","0.4"
"2006 MAY","0.2"
"2006 JUN","0.0"
"2006 JUL","-0.5"
"2006 AUG","0.7"
"2006 SEP","-0.3"
"2006 OCT","-0.1"
"2006 NOV","0.2"
"2006 DEC","0.2"
"2007 JAN","0.1"
"2007 FEB","-1.4"
"2007 MAR","1.6"
"2007 APR","-0.2"
"2007 MAY","0.6"
"2007 JUN","-0.4"
"2007 JUL","-0.1"
"2007 AUG","0.3"
"2007 SEP","2.7"
"2007 OCT","1.8"
"2007 NOV","3.4"
"2007 DEC","2.4"
"2008 JAN","-1.3"
"2008 FEB","3.9"
"2008 MAR","2.1"
"2008 APR","-0.6"
"2008 MAY","1.0"
"2008 JUN","1.7"
"2008 JUL","-0.7"
"2008 AUG","1.8"
"2008 SEP","0.0"
"2008 OCT","0.0"
"2008 NOV","0.9"
"2008 DEC","1.1"
"2009 JAN","-1.6"
"2009 FEB","2.1"
"2009 MAR","1.3"
"2009 APR","-1.0"
"2009 MAY","-0.2"
"2009 JUN","-2.0"
"2009 JUL","-0.3"
"2009 AUG","0.9"
"2009 SEP","0.9"
"2009 OCT","0.3"
"2009 NOV","-0.9"
"2009 DEC","0.4"
"2010 JAN","-0.3"
"2010 FEB","0.5"
"2010 MAR","1.7"
"2010 APR","-0.3"
"2010 MAY","-0.8"
"2010 JUN","-1.0"
"2010 JUL","3.6"
"2010 AUG","-1.3"
"2010 SEP","-1.7"
"2010 OCT","3.6"
"2010 NOV","-0.4"
"2010 DEC","1.7"
"2011 JAN","-1.5"
"2011 FEB","2.2"
"2011 MAR","-0.4"
"2011 APR","-1.1"
"2011 MAY","-1.6"
"2011 JUN","2.1"
"2011 JUL","4.4"
"2011 AUG","3.6"
"2011 SEP","-1.3"
