Time,Country Name,"Adult literacy rate, population 15+ years, both sexes (%) [SE.ADT.LITR.ZS]","Gross enrolment ratio for tertiary education, both sexes (%) [SE.TER.ENRR]","Gross enrolment ratio, primary to tertiary, both sexes (%) [SE.TOT.ENRR]","Literacy rate, population 25-64 years, both sexes (%) [UIS.LR.AG25T64]","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%) [UIS.FOSGP.5T8.F500600700]","Percentage of graduates from tertiary education graduating from Natural Sciences, Mathematics and Statistics programmes, both sexes (%) [SE.TER.GRAD.SC.ZS]","Percentage of graduates from tertiary education graduating from Information and Communication Technologies programmes, both sexes (%) [UIS.FOSGP.5T8.F600]","Percentage of graduates from tertiary education graduating from Business, Administration and Law programmes, both sexes (%) [UIS.FOSGP.5T8.F400]","Percentage of graduates from tertiary education graduating from Arts and Humanities programmes, both sexes (%) [SE.TER.GRAD.HU.ZS]","Percentage of graduates from tertiary education graduating from Agriculture, Forestry, Fisheries and Veterinary programmes, both sexes (%) [SE.TER.GRAD.AG.ZS]","UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes [UIS.EA.MEAN.1T6.AG25T99]","UIS: Percentage of population age 25+ whose highest level of education is Master's or equivalent (ISCED 7), both sexes [UIS.EA.7.AG25T99]","UIS: Percentage of population age 25+ with no schooling, both sexes [UIS.EA.NS.AG25T99]",Number of Billionaires
2015,Algeria,,36.78132,,,31.21939,11.14256,2.84877,20.52349,23.10169,1.64667,,,,0
2015,Angola,,8.40094,,,12.01046,2.70335,4.74076,28.48422,1.02267,0.61836,,,,0
2015,Argentina,99.17996,84.002,101.77252,99.28286,,,,,,,10.9999,,0.70464,0
2015,Austria,,80.71942,95.24667,,29.2717,5.57448,4.01727,21.61828,9.01365,1.61968,12.09431,10.03364,,0
2015,Belgium,,74.55976,118.03144,,17.38283,4.45673,1.13473,20.96059,10.97241,1.86874,12.01187,12.95542,,0
2015,Colombia,94.24505,53.28214,87.37739,94.94909,22.70119,1.35615,5.32158,45.32287,4.12928,1.66837,8.03163,3.15485,7.03872,0
2015,Cyprus,,60.10123,85.66935,,17.37816,3.0097,3.02229,35.34819,9.1802,0.74298,11.94706,9.60861,0.80878,0
2015,Czech Republic,,64.48163,93.75113,,23.17186,4.75749,3.92177,20.7126,7.68964,3.01573,12.67334,14.43263,0.14998,0
2015,Denmark,,82.12949,105.27787,,19.62433,4.61789,4.36126,20.42242,12.85672,2.03149,12.60896,10.12694,,0
2015,Finland,,87.67987,115.36164,,28.48546,4.87427,6.65857,18.00665,12.87899,2.25237,12.714,10.19804,,0
2015,Georgia,,46.48113,83.63261,,,,,,,,,,,0
2015,Greece,,,,,,,,,,,10.75061,1.66348,2.03885,0
