Country Name,Series,Time,Value
India,Number of years of compulsory primary and secondary education guaranteed in legal frameworks,2008,0
Brazil,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,0.92918
Brazil,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,0.93202
Thailand,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,0.94304
Brazil,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,0.95701
Philippines,"Gross enrolment ratio, primary, gender parity index (GPI)",2018,0.96244
Philippines,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,0.96439
Philippines,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,0.96668
Indonesia,"Gross enrolment ratio, primary, gender parity index (GPI)",2018,0.96723
Italy,"Gross enrolment ratio, primary, gender parity index (GPI)",2018,0.96739
Indonesia,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,0.96869
Indonesia,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,0.96915
Italy,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,0.96999
Philippines,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,0.97008
Indonesia,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,0.97193
Turkey,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,0.97345
Indonesia,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,0.9754
Indonesia,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,0.97775
Philippines,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,0.97958
Mexico,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,0.9803
Indonesia,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,0.98123
Turkey,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,0.9813
Mexico,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,0.9826
China,"Gross enrolment ratio, primary, gender parity index (GPI)",2010,0.98268
China,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,0.98351
China,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,0.98455
United States,"Gross enrolment ratio, primary, gender parity index (GPI)",2012,0.9848
China,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,0.98486
Turkey,"Gross enrolment ratio, primary, gender parity index (GPI)",2012,0.98567
Mexico,"Gross enrolment ratio, primary, gender parity index (GPI)",2010,0.98594
Turkey,"Gross enrolment ratio, primary, gender parity index (GPI)",2010,0.98613
Thailand,"Gross enrolment ratio, primary, gender parity index (GPI)",2012,0.98628
Thailand,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,0.98636
Thailand,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,0.98717
Thailand,"Gross enrolment ratio, primary, gender parity index (GPI)",2013,0.98768
Thailand,"Gross enrolment ratio, primary, gender parity index (GPI)",2010,0.98787
France,"Gross enrolment ratio, primary, gender parity index (GPI)",2010,0.98803
Italy,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,0.9881
Mexico,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,0.98848
Italy,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,0.98856
Italy,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,0.98857
Turkey,"Gross enrolment ratio, primary, gender parity index (GPI)",2018,0.98871
Philippines,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,0.98885
China,"Gross enrolment ratio, primary, gender parity index (GPI)",2012,0.9889
Russian Federation,"Gross enrolment ratio, primary, gender parity index (GPI)",2018,0.98911
France,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,0.98925
Thailand,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,0.98971
Turkey,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,0.98987
United States,"Gross enrolment ratio, primary, gender parity index (GPI)",2010,0.99
Philippines,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,0.99024
France,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,0.99039
Italy,"Gross enrolment ratio, primary, gender parity index (GPI)",2010,0.99047
Turkey,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,0.99054
Spain,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,0.99066
Mexico,"Gross enrolment ratio, primary, gender parity index (GPI)",2012,0.99117
Spain,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,0.99158
United States,"Gross enrolment ratio, primary, gender parity index (GPI)",2013,0.99172
Italy,"Gross enrolment ratio, primary, gender parity index (GPI)",2012,0.99215
Mexico,"Gross enrolment ratio, primary, gender parity index (GPI)",2013,0.99224
United States,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,0.99234
Spain,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,0.99241
Spain,"Gross enrolment ratio, primary, gender parity index (GPI)",2010,0.99253
Germany,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,0.99296
Switzerland,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,0.99312
Turkey,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,0.99315
Switzerland,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,0.99324
Germany,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,0.99332
Turkey,"Gross enrolment ratio, primary, gender parity index (GPI)",2013,0.99334
Spain,"Gross enrolment ratio, primary, gender parity index (GPI)",2012,0.99375
France,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,0.99378
Germany,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,0.99381
Turkey,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,0.99381
Switzerland,"Gross enrolment ratio, primary, gender parity index (GPI)",2018,0.99394
France,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,0.99407
Germany,"Gross enrolment ratio, primary, gender parity index (GPI)",2010,0.99432
Mexico,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,0.99447
France,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,0.99451
United Kingdom,"Gross enrolment ratio, primary, gender parity index (GPI)",2010,0.99458
France,"Gross enrolment ratio, primary, gender parity index (GPI)",2018,0.99458
Germany,"Gross enrolment ratio, primary, gender parity index (GPI)",2013,0.99459
Sweden,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,0.99476
Sweden,"Gross enrolment ratio, primary, gender parity index (GPI)",2010,0.99476
Switzerland,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,0.99494
Italy,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,0.99506
Sweden,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,0.99509
Switzerland,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,0.99509
Italy,"Gross enrolment ratio, primary, gender parity index (GPI)",2013,0.99517
France,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,0.9952
Russian Federation,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,0.9953
Switzerland,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,0.99533
Switzerland,"Gross enrolment ratio, primary, gender parity index (GPI)",2010,0.99543
Turkey,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,0.99543
France,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,0.99554
Canada,"Gross enrolment ratio, primary, gender parity index (GPI)",2018,0.99566
Italy,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,0.99571
Sweden,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,0.99601
Australia,"Gross enrolment ratio, primary, gender parity index (GPI)",2012,0.99603
Germany,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,0.99653
Indonesia,"Gross enrolment ratio, primary, gender parity index (GPI)",2013,0.9966
United Kingdom,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,0.99661
United States,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,0.99664
United Kingdom,"Gross enrolment ratio, primary, gender parity index (GPI)",2009,0.99704
Australia,"Gross enrolment ratio, primary, gender parity index (GPI)",2013,0.99708
Indonesia,"Gross enrolment ratio, primary, gender parity index (GPI)",2012,0.9971
United Kingdom,"Gross enrolment ratio, primary, gender parity index (GPI)",2018,0.99711
United Kingdom,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,0.99713
Switzerland,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,0.99718
"Korea, Rep.","Gross enrolment ratio, primary, gender parity index (GPI)",2008,0.99724
Australia,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,0.99726
Norway,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,0.99728
France,"Gross enrolment ratio, primary, gender parity index (GPI)",2013,0.99729
Germany,"Gross enrolment ratio, primary, gender parity index (GPI)",2012,0.99737
Australia,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,0.9975
Mexico,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,0.99753
"Korea, Rep.","Gross enrolment ratio, primary, gender parity index (GPI)",2017,0.99754
Canada,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,0.99759
Switzerland,"Gross enrolment ratio, primary, gender parity index (GPI)",2012,0.9976
China,"Gross enrolment ratio, primary, gender parity index (GPI)",2013,0.99761
United Kingdom,"Gross enrolment ratio, primary, gender parity index (GPI)",2013,0.99763
Norway,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,0.99775
United Kingdom,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,0.99803
Switzerland,"Gross enrolment ratio, primary, gender parity index (GPI)",2013,0.99811
Canada,"Gross enrolment ratio, primary, gender parity index (GPI)",2008,0.99816
"Korea, Rep.","Gross enrolment ratio, primary, gender parity index (GPI)",2018,0.99823
Australia,"Gross enrolment ratio, primary, gender parity index (GPI)",2010,0.99824
United Kingdom,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,0.99828
United States,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,0.99833
Singapore,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,0.99844
Sweden,"Gross enrolment ratio, primary, gender parity index (GPI)",2012,0.99845
"Korea, Rep.","Gross enrolment ratio, primary, gender parity index (GPI)",2015,0.99847
"Korea, Rep.","Gross enrolment ratio, primary, gender parity index (GPI)",2016,0.99847
United Kingdom,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,0.99868
United Kingdom,"Gross enrolment ratio, primary, gender parity index (GPI)",2011,0.9987
Germany,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,0.99873
United States,"Gross enrolment ratio, primary, gender parity index (GPI)",2018,0.99884
Australia,"Gross enrolment ratio, primary, gender parity index (GPI)",2018,0.99891
"Korea, Rep.","Gross enrolment ratio, primary, gender parity index (GPI)",2014,0.99891
Singapore,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,0.99893
Norway,"Gross enrolment ratio, primary, gender parity index (GPI)",2013,0.99904
Thailand,"Gross enrolment ratio, primary, gender parity index (GPI)",2019,0.99913
Norway,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,0.99918
Norway,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,0.99927
Singapore,"Gross enrolment ratio, primary, gender parity index (GPI)",2018,0.99928
"Korea, Rep.","Gross enrolment ratio, primary, gender parity index (GPI)",2009,0.99941
France,"Gross enrolment ratio, primary, gender parity index (GPI)",2012,0.99941
United Kingdom,"Gross enrolment ratio, primary, gender parity index (GPI)",2012,0.99955
United States,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,0.99975
Australia,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,0.99978
Australia,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,0.9999
Thailand,"Gross enrolment ratio, primary, gender parity index (GPI)",2017,0.99993
Norway,"Gross enrolment ratio, primary, gender parity index (GPI)",2018,0.99999
Thailand,"Gross enrolment ratio, primary, gender parity index (GPI)",2018,1.00002
Italy,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,1.00004
Germany,"Gross enrolment ratio, primary, gender parity index (GPI)",2016,1.00026
Australia,"Gross enrolment ratio, primary, gender parity index (GPI)",2015,1.00029
China,"Gross enrolment ratio, primary, gender parity index (GPI)",2014,1.00072
