Year,Country,Number of Billionaires,Gross enrolment ratio for tertiary education both sexes (%),Educational attainment at least completed short-cycle tertiary population 25+ total (%) (cumulative),GDP per capita
2018,Kazakhstan,5,53.99,73.91,9812.63
2016,Canada,39,66.44,49.67,42315.6
2019,Singapore,21,0,48.15,65640.71
2020,United States,614,0,48.09,63413.51
2020,United Kingdom,45,0,47.24,41124.53
2015,Israel,17,65.49,47.07,35808.44
2018,Singapore,21,88.89,46.7,66679.05
2020,Australia,31,0,46.45,51692.84
2017,Singapore,21,84.79,45.32,61176.46
2018,United States,585,88.3,45.17,63064.42
2019,Australia,33,0,44.46,54875.29
2017,United Kingdom,54,60,44.09,40857.76
2016,Singapore,19,83.94,43.85,56848.18
2016,United States,536,88.84,43.51,58021.4
2018,Australia,33,107.81,43.27,57180.78
2015,Singapore,19,0,42.94,55646.62
2017,Australia,33,113.14,42.61,53934.25
2015,United States,536,88.89,42.34,56863.37
2016,Australia,27,120.97,41.39,49881.76
2015,Australia,27,118.61,40.47,56707.02
2018,Switzerland,36,61.38,39.66,86388.4
2019,Norway,14,0,39.23,75826.08
2017,Switzerland,36,59.56,38.98,83352.09
2020,Iceland,1,0,38.73,59270.18
2020,Cyprus,3,0,38.63,26623.8
2019,Iceland,1,0,38.35,68941.46
2017,Norway,14,81.99,38.03,75496.75
2018,Cyprus,6,81.34,37.79,29089.47
2020,Denmark,8,0,37.74,61063.32
2016,Norway,0,80.55,37.23,70460.56
2018,Denmark,6,81.18,37.12,61591.93
2020,Sweden,31,0,36.95,52274.41
2020,Netherlands,11,0,36.72,52397.12
2017,Ireland,8,77.78,36.66,69601.68
2020,New Zealand,2,0,36.64,41441.47
2015,Switzerland,29,57.71,36.62,84776.14
2015,Norway,0,77.96,36.52,74355.52
2016,Cyprus,0,67.17,36.5,24605.92
2019,Finland,7,0,36.48,48678.31
2019,Belgium,2,0,35.8,46591.49
2016,Denmark,0,81.06,35.42,54664
2017,Finland,7,88.2,35.25,46297.5
2017,Belgium,2,79.66,35.12,44089.31
2015,Cyprus,0,60.1,34.83,23408.34
2015,Denmark,0,82.13,34.51,53254.86
2015,Finland,0,87.68,34.35,42784.7
2017,Georgia,1,56.81,34.06,4357
2018,Sweden,31,72.46,34.03,54589.06
2019,Georgia,1,63.92,33.7,4697.98
2019,Spain,25,0,33.44,29555.32
2018,Netherlands,10,87.1,33.04,53018.63
2016,Georgia,0,51.83,32.86,4062.17
2016,Sweden,23,63.55,32.82,51965.16
2016,Belgium,0,75.89,32.54,41984.1
2016,New Zealand,0,81.77,32.31,40080.49
2015,Sweden,23,62.28,32.23,51545.48
2019,France,38,0,32.17,40578.64
2015,Belgium,0,74.56,32.06,40991.81
2020,Spain,24,0,31.65,27063.19
2016,Netherlands,0,80.36,31.51,46007.85
2017,Spain,25,88.85,31.11,28100.59
2015,Netherlands,0,80.57,30.96,45175.23
2015,France,47,62.79,30.39,36638.18
2015,New Zealand,0,80.56,30.25,38630.73
2017,France,38,65.8,30.13,38685.26
2015,Spain,21,85.61,29.79,25732.02
2016,France,47,64.73,29.51,37037.37
2020,South Africa,4,0,29.29,5655.87
2020,Poland,6,0,28.24,15720.99
2019,Philippines,14,0,28.15,3485.34
2020,Greece,3,0,26.81,17622.54
2016,Germany,120,69.58,26.18,42107.52
2018,Germany,114,70.34,25.74,47950.18
2015,Germany,103,67.75,25.43,41086.73
2016,Poland,0,67,25.03,12447.44
2020,Hungary,1,0,25,15980.74
2015,Greece,0,0,23.71,18076.61
2020,Portugal,1,0,22.55,22176.3
2020,Colombia,3,0,22.54,5334.56
2017,Chile,12,88.46,22.04,14998.82
2018,Peru,5,0,21.91,6957.79
2015,Hungary,0,48.96,21.67,12720.71
2019,Colombia,3,0,21.63,6424.98
2016,Hungary,0,48.04,21.4,13107.38
2018,Colombia,3,55.33,21.25,6729.58
2016,Greece,0,131.54,21.2,17911.8
2019,Czech Republic,6,0,21.01,23660.15
2015,Peru,0,0,20.88,6229.1
2017,Czech Republic,6,64.08,20.86,20636.2
2019,Portugal,4,0,20.78,23330.82
2019,Turkey,29,0,20.76,9121.52
2019,Thailand,20,0,20.37,7817.01
2019,Malaysia,12,43.06,20.29,11432.82
2016,Czech Republic,0,63.75,20.24,18575.23
2016,Colombia,0,55.48,20.14,5870.78
2015,Chile,12,85.27,19.81,13574.17
2015,Czech Republic,0,64.48,19.53,17829.7
2015,Colombia,0,53.28,19.52,6175.88
2018,Thailand,20,0,19.32,7296.88
2017,Portugal,4,63.94,19.26,21437.35
2017,Turkey,29,0,19.09,10589.67
2016,Thailand,17,49.29,19.07,5993.31
2016,Portugal,0,63.26,19,19978.4
2016,Malaysia,12,46.76,18.84,9817.79
2020,Mexico,12,0,18.77,8329.27
2018,Portugal,4,65.66,18.69,23551.05
2018,Kuwait,4,54.36,18.51,33399.06
2015,Portugal,0,61.76,18.18,19242.37
2016,Turkey,32,0,18.16,10894.6
2017,Kuwait,4,55.36,17.39,29759.47
2015,Turkey,32,0,17.39,11006.28
2020,Italy,36,0,16.57,31714.22
2018,Brazil,43,0,16.54,9151.38
2018,Mexico,15,41.52,16.45,9686.98
2015,Mexico,16,31.82,16.27,9616.65
2018,South Africa,8,23.8,16.26,7005.1
2017,Mexico,15,40.23,15.82,9287.85
2017,Brazil,43,0,15.73,9928.68
2016,Brazil,31,0,15.35,8710.06
2019,Romania,1,0,15.31,12899.35
2016,Mexico,16,38.43,15.15,8744.52
2015,Kuwait,0,55.15,15.02,29869.55
2017,Romania,1,49.38,14.68,10807.01
2016,Romania,0,48.24,14.61,9548.59
2015,Romania,0,46.73,14.46,8969.15
2015,Italy,39,60.94,14.35,30230.23
2015,Brazil,54,0,13.56,8813.99
2019,Vietnam,4,28.64,13.52,2715.28
2016,South Africa,0,20.92,11.83,5756.97
2020,Indonesia,15,0,11.03,3869.59
2018,Indonesia,20,36.31,9.99,3893.86
2017,Zimbabwe,0,0,9.42,1235.19
2016,Indonesia,22,35.44,9.4,3562.82
2015,Indonesia,22,33.25,9.25,3331.7
2020,Singapore,26,0,7.82,59797.75
2018,Greece,4,142.85,0,19747.34
2017,Greece,3,136.6,0,18536.19
2018,Turkey,29,113.22,0,9454.35
2018,Spain,25,91.11,0,30349.75
2018,Chile,12,90.9,0,15888.14
2018,Finland,7,90.26,0,49964.5
2017,Argentina,7,89.96,0,14613.04
2017,United States,565,88.17,0,60109.66
2016,Chile,12,87.19,0,13753.59
2018,Austria,8,86.69,0,51461.43
2016,Spain,21,86.52,0,26505.34
2017,Austria,8,85.06,0,47312.01
2017,Netherlands,10,84.98,0,48554.99
2018,Norway,14,83.02,0,82267.81
2018,New Zealand,2,82.98,0,43306.07
2017,New Zealand,2,82.03,0,42992.9
2017,Denmark,6,80.62,0,57610.1
2018,Belgium,2,78.9,0,47519.55
2018,Ireland,8,77.28,0,79068.97
2017,Cyprus,6,75.94,0,26444.07
2018,Iceland,1,73.1,0,74469.8
2017,Iceland,1,71.85,0,72010.15
2017,Peru,5,70.74,0,6710.51
2017,Germany,114,70.25,0,44542.3
2018,Canada,39,70.11,0,46454.74
2017,Canada,39,68.92,0,45129.36
2018,Poland,4,68.62,0,15468.48
2017,Poland,4,67.83,0,13864.68
2018,France,38,67.62,0,41572.49
2017,Sweden,31,66.99,0,53791.51
2016,Israel,17,64.9,0,37330.26
2015,Canada,39,64.79,0,43596.14
2018,Italy,42,64.29,0,34605.26
2018,Czech Republic,6,63.77,0,23419.74
2017,Israel,18,63.35,0,40774.13
2017,Italy,42,61.93,0,32326.67
2019,Kazakhstan,5,61.75,0,9812.6
2018,Israel,18,61.48,0,42063.45
2018,United Kingdom,54,61.38,0,43646.95
2016,Italy,39,60.94,0,30939.71
2018,Georgia,1,60.33,0,4722.79
2016,United Kingdom,120,58.43,0,41499.56
2016,Switzerland,29,58.05,0,83073.28
2015,United Kingdom,53,56.46,0,45404.57
2017,Colombia,3,56.43,0,6376.71
2019,Kuwait,4,55.31,0,32373.25
2019,China,476,53.76,0,10143.84
2018,Algeria,1,51.37,0,4142.02
2018,Romania,1,51.01,0,12398.98
2018,China,476,50.6,0,9905.34
2018,Hungary,1,50.31,0,16427.37
2017,Kazakhstan,5,50.15,0,9247.58
2017,China,319,49.07,0,8816.99
2016,China,251,48.02,0,8094.36
2017,Algeria,1,47.65,0,4109.7
2015,China,213,46.04,0,8016.43
2015,Malaysia,12,45.59,0,9955.24
2018,Malaysia,12,45.13,0,11380.08
2017,Malaysia,12,43.72,0,10259.3
2019,Oman,3,40.45,0,15343.04
2019,Morocco,3,38.55,0,3230.41
2018,Liechtenstein,1,38.3,0,180366.72
2017,Oman,3,38.13,0,15127.89
2018,Oman,3,38.04,0,16521.21
2017,Indonesia,20,36.44,0,3837.58
2018,Morocco,3,35.94,0,3226.98
2017,Liechtenstein,1,35.62,0,171253.96
2017,Philippines,14,35.48,0,3123.25
2017,Morocco,3,33.78,0,3035.45
2019,India,131,28.57,0,2100.75
2018,India,131,28.06,0,1996.92
2017,India,101,27.44,0,1980.67
2016,India,84,26.83,0,1732.55
2015,India,100,26.77,0,1605.61
2017,South Africa,8,22.37,0,6690.94
2019,Nepal,1,13.33,0,1194.96
2018,Nepal,1,12.41,0,1178.53
2017,Nepal,1,11.59,0,1048.45
2019,Tanzania,1,3.09,0,1085.88
2019,United States,585,0,0,65279.53
2020,China,389,0,0,10434.78
2019,Germany,114,0,0,46794.9
2020,Germany,107,0,0,46208.43
2020,India,102,0,0,1927.71
2019,United Kingdom,54,0,0,43070.5
2020,Brazil,45,0,0,6796.84
2020,Canada,44,0,0,43258.18
2019,Brazil,43,0,0,8897.55
2019,Italy,42,0,0,33641.63
2019,Canada,39,0,0,46326.67
2020,France,39,0,0,39030.36
2019,Switzerland,36,0,0,85334.52
2020,Switzerland,35,0,0,87097.04
2019,Japan,33,0,0,40777.61
2018,Japan,33,0,0,39808.17
2017,Japan,33,0,0,38891.09
2019,Sweden,31,0,0,51939.43
2020,Japan,26,0,0,40193.25
2016,Japan,24,0,0,39400.74
2015,Japan,24,0,0,34960.64
2020,Turkey,23,0,0,8536.43
2020,Thailand,20,0,0,7186.87
2017,Thailand,20,0,0,6593.82
2019,Indonesia,20,0,0,4135.2
2019,Israel,18,0,0,43951.25
2020,Israel,17,0,0,44168.94
2015,Thailand,17,0,0,5840.05
2019,Mexico,15,0,0,9950.45
2020,Philippines,15,0,0,3298.83
2018,Philippines,14,0,0,3252.11
2020,Norway,12,0,0,67389.91
2019,Chile,12,0,0,14741.71
2020,Malaysia,12,0,0,10412.35
2016,Philippines,11,0,0,3073.65
2015,Philippines,11,0,0,3001.04
2019,Netherlands,10,0,0,52476.27
2020,Ireland,9,0,0,85267.76
2020,Austria,9,0,0,48586.8
2019,Ireland,8,0,0,80886.62
2019,Austria,8,0,0,50114.4
2020,Czech Republic,8,0,0,22932.22
2019,South Africa,8,0,0,6624.76
2020,Chile,7,0,0,13231.7
2018,Argentina,7,0,0,11795.16
2019,Argentina,7,0,0,10056.64
2019,Denmark,6,0,0,59775.74
2020,Finland,6,0,0,48773.28
2019,Cyprus,6,0,0,28288.46
2020,Lebanon,6,0,0,4649.55
2020,Ukraine,6,0,0,3726.93
2019,Ukraine,6,0,0,3662.56
2018,Ukraine,6,0,0,3096.82
2017,Ukraine,6,0,0,2640.68
2019,Peru,5,0,0,7027.61
2019,Monaco,4,0,0,190512.74
2018,Monaco,4,0,0,185978.61
2017,Monaco,4,0,0,167517.06
2019,Greece,4,0,0,19133.76
2019,Poland,4,0,0,15732.2
2020,Kazakhstan,4,0,0,9122.23
2020,Argentina,4,0,0,8579.02
2018,Lebanon,4,0,0,8058.44
2017,Lebanon,4,0,0,7819.6
2019,Lebanon,4,0,0,7578.17
2020,Vietnam,4,0,0,2785.72
2018,Vietnam,4,0,0,2566.45
2019,Nigeria,4,0,0,2229.86
2020,Nigeria,3,0,0,2097.09
2018,Nigeria,3,0,0,2027.78
2017,Nigeria,3,0,0,1968.57
2020,Monaco,3,0,0,0
2019,New Zealand,2,0,0,42755.22
2020,Romania,2,0,0,12896.09
2020,Peru,2,0,0,6126.87
2017,Vietnam,2,0,0,2365.52
2019,Liechtenstein,1,0,0,175813.88
2020,Qatar,1,0,0,50124.39
2020,Belgium,1,0,0,45159.35
2020,Kuwait,1,0,0,24811.77
2019,Hungary,1,0,0,16735.66
2020,Oman,1,0,0,12659.72
2020,Georgia,1,0,0,4266.69
2017,Angola,1,0,0,4095.81
2019,Algeria,1,0,0,3989.67
2020,Algeria,1,0,0,3306.86
2018,Angola,1,0,0,3289.64
2020,Morocco,1,0,0,3009.25
2019,Angola,1,0,0,2809.63
2020,Angola,1,0,0,1776.17
2019,Zimbabwe,1,0,0,1316.74
2018,Zimbabwe,1,0,0,1254.64
2020,Zimbabwe,1,0,0,1214.51
2020,Nepal,1,0,0,1155.14
2020,Tanzania,1,0,0,1076.47
2018,Tanzania,1,0,0,1042.84
2017,Tanzania,1,0,0,1004.91
2020,Liechtenstein,1,0,0,0
2016,Argentina,0,87.21,0,12790.24
2016,Finland,0,86.98,0,43784.28
2015,Argentina,0,84,0,13789.06
2016,Austria,0,83.45,0,45276.83
2015,Austria,0,80.72,0,44178.05
2016,Ireland,0,77.56,0,62818.97
2015,Ireland,0,77.23,0,61987.55
2015,Iceland,0,75.77,0,52951.68
2016,Iceland,0,73.6,0,61987.93
2016,Peru,0,71.13,0,6205
2015,Poland,0,66.95,0,12578.5
2016,Kuwait,0,57.29,0,27653.16
2017,Hungary,0,48.5,0,14623.7
2016,Kazakhstan,0,46.62,0,7714.84
2015,Georgia,0,46.48,0,4014.19
2015,Kazakhstan,0,46.37,0,10510.77
2016,Oman,0,44.05,0,14609.98
2016,Algeria,0,42.63,0,3946.45
2015,Oman,0,39.23,0,16033.46
2015,Algeria,0,36.78,0,4177.89
2016,Liechtenstein,0,35.02,0,165642.39
2015,Liechtenstein,0,33.54,0,167313.27
2016,Morocco,0,31.99,0,2896.72
2015,Vietnam,0,29.07,0,2085.1
2016,Vietnam,0,28.54,0,2192.17
2015,Morocco,0,28.4,0,2875.26
2019,Qatar,0,18.95,0,62276.43
2018,Qatar,0,17.87,0,65907.95
2017,Qatar,0,16.63,0,59124.87
2016,Qatar,0,15.64,0,57162.97
2015,Nepal,0,14.97,0,901.75
2015,Qatar,0,14.7,0,63039.11
2016,Nepal,0,11.62,0,899.52
2015,Zimbabwe,0,10.01,0,1445.07
2016,Angola,0,9.34,0,3506.07
2015,Angola,0,8.4,0,4166.98
2015,Tanzania,0,4.01,0,947.93
2016,Monaco,0,0,0,170028.66
2015,Monaco,0,0,0,165989.51
2015,Lebanon,0,0,0,7663.92
2016,Lebanon,0,0,0,7653.73
2015,South Africa,0,0,0,6259.84
2015,Nigeria,0,0,0,2687.48
2016,Ukraine,0,0,0,2187.73
2016,Nigeria,0,0,0,2176
2015,Ukraine,0,0,0,2124.66
2016,Zimbabwe,0,0,0,1464.59
