Year,Country,Number of Billionaires,Gross enrolment ratio for tertiary education both sexes (%),Educational attainment at least completed short-cycle tertiary population 25+ total (%) (cumulative),GDP per capita
2018,Greece,4,142.85,,19747.34
2017,Greece,3,136.6,,18536.19
2016,Greece,0,131.54,21.2,17911.8
2016,Australia,27,120.97,41.39,49881.76
2015,Australia,27,118.61,40.47,56707.02
2018,Turkey,29,113.22,,9454.35
2017,Australia,33,113.14,42.61,53934.25
2018,Australia,33,107.81,43.27,57180.78
2018,Spain,25,91.11,,30349.75
2018,Chile,12,90.9,,15888.14
2018,Finland,7,90.26,,49964.5
2017,Argentina,7,89.96,,14613.04
2018,Singapore,21,88.89,46.7,66679.05
2015,United States,536,88.89,42.34,56863.37
2017,Spain,25,88.85,31.11,28100.59
2016,United States,536,88.84,43.51,58021.4
2017,Chile,12,88.46,22.04,14998.82
2018,United States,585,88.3,45.17,63064.42
2017,Finland,7,88.2,35.25,46297.5
2017,United States,565,88.17,,60109.66
2015,Finland,0,87.68,34.35,42784.7
2016,Argentina,0,87.21,,12790.24
2016,Chile,12,87.19,,13753.59
2018,Netherlands,10,87.1,33.04,53018.63
2016,Finland,0,86.98,,43784.28
2018,Austria,8,86.69,,51461.43
2016,Spain,21,86.52,,26505.34
2015,Spain,21,85.61,29.79,25732.02
2015,Chile,12,85.27,19.81,13574.17
2017,Austria,8,85.06,,47312.01
2017,Netherlands,10,84.98,,48554.99
2017,Singapore,21,84.79,45.32,61176.46
2015,Argentina,0,84,,13789.06
2016,Singapore,19,83.94,43.85,56848.18
2016,Austria,0,83.45,,45276.83
2018,Norway,14,83.02,,82267.81
2018,New Zealand,2,82.98,,43306.07
2015,Denmark,0,82.13,34.51,53254.86
2017,New Zealand,2,82.03,,42992.9
2017,Norway,14,81.99,38.03,75496.75
2016,New Zealand,0,81.77,32.31,40080.49
2018,Cyprus,6,81.34,37.79,29089.47
2018,Denmark,6,81.18,37.12,61591.93
2016,Denmark,0,81.06,35.42,54664
2015,Austria,0,80.72,,44178.05
2017,Denmark,6,80.62,,57610.1
2015,Netherlands,0,80.57,30.96,45175.23
2015,New Zealand,0,80.56,30.25,38630.73
2016,Norway,0,80.55,37.23,70460.56
2016,Netherlands,0,80.36,31.51,46007.85
2017,Belgium,2,79.66,35.12,44089.31
2018,Belgium,2,78.9,,47519.55
2015,Norway,0,77.96,36.52,74355.52
2017,Ireland,8,77.78,36.66,69601.68
2016,Ireland,0,77.56,,62818.97
2018,Ireland,8,77.28,,79068.97
2015,Ireland,0,77.23,,61987.55
2017,Cyprus,6,75.94,,26444.07
2016,Belgium,0,75.89,32.54,41984.1
2015,Iceland,0,75.77,,52951.68
2015,Belgium,0,74.56,32.06,40991.81
2016,Iceland,0,73.6,,61987.93
