areaCode,areaName,areaType,date,newPeopleVaccinatedCompleteByPublishDate
E92000001,England,nation,2021-10-05,24253
E92000001,England,nation,2021-10-04,24746
E92000001,England,nation,2021-10-03,17502
E92000001,England,nation,2021-10-02,30849
E92000001,England,nation,2021-10-01,29993
E92000001,England,nation,2021-09-30,30318
E92000001,England,nation,2021-09-29,29907
E92000001,England,nation,2021-09-28,29670
E92000001,England,nation,2021-09-27,28590
E92000001,England,nation,2021-09-26,21476
E92000001,England,nation,2021-09-25,43049
E92000001,England,nation,2021-09-24,39567
E92000001,England,nation,2021-09-23,41728
E92000001,England,nation,2021-09-22,39676
E92000001,England,nation,2021-09-21,39248
E92000001,England,nation,2021-09-20,41438
E92000001,England,nation,2021-09-19,30458
E92000001,England,nation,2021-09-18,66134
E92000001,England,nation,2021-09-17,55257
E92000001,England,nation,2021-09-16,58941
E92000001,England,nation,2021-09-15,57096
E92000001,England,nation,2021-09-14,56521
E92000001,England,nation,2021-09-13,54807
E92000001,England,nation,2021-09-12,42902
E92000001,England,nation,2021-09-11,86068
E92000001,England,nation,2021-09-10,78763
E92000001,England,nation,2021-09-09,86592
E92000001,England,nation,2021-09-08,75548
E92000001,England,nation,2021-09-07,73004
E92000001,England,nation,2021-09-06,69758
E92000001,England,nation,2021-09-05,59265
E92000001,England,nation,2021-09-04,116327
E92000001,England,nation,2021-09-03,98122
E92000001,England,nation,2021-09-02,103997
E92000001,England,nation,2021-09-01,102086
E92000001,England,nation,2021-08-31,105003
E92000001,England,nation,2021-08-30,52137
E92000001,England,nation,2021-08-29,64710
E92000001,England,nation,2021-08-28,116583
E92000001,England,nation,2021-08-27,115249
E92000001,England,nation,2021-08-26,127267
E92000001,England,nation,2021-08-25,142307
E92000001,England,nation,2021-08-24,109221
E92000001,England,nation,2021-08-23,113005
E92000001,England,nation,2021-08-22,96246
E92000001,England,nation,2021-08-21,174038
E92000001,England,nation,2021-08-20,145473
E92000001,England,nation,2021-08-19,153886
E92000001,England,nation,2021-08-18,147569
E92000001,England,nation,2021-08-17,120908
E92000001,England,nation,2021-08-16,117998
E92000001,England,nation,2021-08-15,101881
E92000001,England,nation,2021-08-14,173718
E92000001,England,nation,2021-08-13,143690
E92000001,England,nation,2021-08-12,165425
E92000001,England,nation,2021-08-11,145954
E92000001,England,nation,2021-08-10,123721
E92000001,England,nation,2021-08-09,112286
E92000001,England,nation,2021-08-08,94332
E92000001,England,nation,2021-08-07,184869
E92000001,England,nation,2021-08-06,137172
E92000001,England,nation,2021-08-05,143423
E92000001,England,nation,2021-08-04,131581
E92000001,England,nation,2021-08-03,108604
E92000001,England,nation,2021-08-02,94425
E92000001,England,nation,2021-08-01,92416
E92000001,England,nation,2021-07-31,182825
E92000001,England,nation,2021-07-30,142715
E92000001,England,nation,2021-07-29,145472
E92000001,England,nation,2021-07-28,131048
E92000001,England,nation,2021-07-27,118328
E92000001,England,nation,2021-07-26,115924
E92000001,England,nation,2021-07-25,94435
E92000001,England,nation,2021-07-24,177885
E92000001,England,nation,2021-07-23,154761
E92000001,England,nation,2021-07-22,156245
E92000001,England,nation,2021-07-21,146281
E92000001,England,nation,2021-07-20,126163
E92000001,England,nation,2021-07-19,112544
E92000001,England,nation,2021-07-18,105472
E92000001,England,nation,2021-07-17,196422
E92000001,England,nation,2021-07-16,163936
E92000001,England,nation,2021-07-15,167152
E92000001,England,nation,2021-07-14,151335
E92000001,England,nation,2021-07-13,124905
E92000001,England,nation,2021-07-12,99817
E92000001,England,nation,2021-07-11,80755
E92000001,England,nation,2021-07-10,174745
E92000001,England,nation,2021-07-09,143603
E92000001,England,nation,2021-07-08,135457
E92000001,England,nation,2021-07-07,128226
E92000001,England,nation,2021-07-06,109148
E92000001,England,nation,2021-07-05,107977
E92000001,England,nation,2021-07-04,85748
E92000001,England,nation,2021-07-03,165665
E92000001,England,nation,2021-07-02,142275
E92000001,England,nation,2021-07-01,154177
E92000001,England,nation,2021-06-30,138993
E92000001,England,nation,2021-06-29,115484
E92000001,England,nation,2021-06-28,107318
E92000001,England,nation,2021-06-27,97993
E92000001,England,nation,2021-06-26,172324
E92000001,England,nation,2021-06-25,133375
E92000001,England,nation,2021-06-24,136679
E92000001,England,nation,2021-06-23,128688
E92000001,England,nation,2021-06-22,210730
E92000001,England,nation,2021-06-20,78594
E92000001,England,nation,2021-06-19,195646
E92000001,England,nation,2021-06-18,162030
E92000001,England,nation,2021-06-17,176158
E92000001,England,nation,2021-06-16,180627
E92000001,England,nation,2021-06-15,175703
E92000001,England,nation,2021-06-14,174262
E92000001,England,nation,2021-06-13,153449
E92000001,England,nation,2021-06-12,276813
E92000001,England,nation,2021-06-11,251641
E92000001,England,nation,2021-06-10,248650
E92000001,England,nation,2021-06-09,253913
E92000001,England,nation,2021-06-08,252697
E92000001,England,nation,2021-06-07,244107
E92000001,England,nation,2021-06-06,217491
E92000001,England,nation,2021-06-05,415644
E92000001,England,nation,2021-06-04,321602
E92000001,England,nation,2021-06-03,313526
E92000001,England,nation,2021-06-02,288963
E92000001,England,nation,2021-06-01,279285
E92000001,England,nation,2021-05-31,154674
E92000001,England,nation,2021-05-30,179424
E92000001,England,nation,2021-05-29,381816
E92000001,England,nation,2021-05-28,380855
E92000001,England,nation,2021-05-27,374042
E92000001,England,nation,2021-05-26,368554
E92000001,England,nation,2021-05-25,327467
E92000001,England,nation,2021-05-24,279672
E92000001,England,nation,2021-05-23,220062
E92000001,England,nation,2021-05-22,508013
E92000001,England,nation,2021-05-21,371460
E92000001,England,nation,2021-05-20,367142
E92000001,England,nation,2021-05-19,309020
E92000001,England,nation,2021-05-18,269283
E92000001,England,nation,2021-05-17,210442
E92000001,England,nation,2021-05-16,157687
E92000001,England,nation,2021-05-15,353764
E92000001,England,nation,2021-05-14,346425
E92000001,England,nation,2021-05-13,378650
E92000001,England,nation,2021-05-12,402524
E92000001,England,nation,2021-05-11,308915
E92000001,England,nation,2021-05-10,192723
E92000001,England,nation,2021-05-09,160313
E92000001,England,nation,2021-05-08,404510
E92000001,England,nation,2021-05-07,414731
E92000001,England,nation,2021-05-06,419232
E92000001,England,nation,2021-05-05,348553
E92000001,England,nation,2021-05-04,211639
E92000001,England,nation,2021-05-03,99785
E92000001,England,nation,2021-05-02,137400
E92000001,England,nation,2021-05-01,329170
E92000001,England,nation,2021-04-30,361758
E92000001,England,nation,2021-04-29,395043
E92000001,England,nation,2021-04-28,394152
E92000001,England,nation,2021-04-27,313616
E92000001,England,nation,2021-04-26,249768
E92000001,England,nation,2021-04-25,227159
E92000001,England,nation,2021-04-24,478008
E92000001,England,nation,2021-04-23,394144
E92000001,England,nation,2021-04-22,345675
E92000001,England,nation,2021-04-21,339773
E92000001,England,nation,2021-04-20,272929
E92000001,England,nation,2021-04-19,215665
E92000001,England,nation,2021-04-18,195871
E92000001,England,nation,2021-04-17,458880
E92000001,England,nation,2021-04-16,446025
E92000001,England,nation,2021-04-15,363002
E92000001,England,nation,2021-04-14,292383
E92000001,England,nation,2021-04-13,257732
E92000001,England,nation,2021-04-12,166273
E92000001,England,nation,2021-04-11,160454
E92000001,England,nation,2021-04-10,437442
E92000001,England,nation,2021-04-09,404206
E92000001,England,nation,2021-04-08,403212
E92000001,England,nation,2021-04-07,372241
E92000001,England,nation,2021-04-06,162466
E92000001,England,nation,2021-04-05,54060
E92000001,England,nation,2021-04-04,39491
E92000001,England,nation,2021-04-03,157903
E92000001,England,nation,2021-04-02,215754
E92000001,England,nation,2021-04-01,411998
E92000001,England,nation,2021-03-31,341748
E92000001,England,nation,2021-03-30,233828
E92000001,England,nation,2021-03-29,137405
E92000001,England,nation,2021-03-28,127078
E92000001,England,nation,2021-03-27,201335
E92000001,England,nation,2021-03-26,250962
E92000001,England,nation,2021-03-25,198206
E92000001,England,nation,2021-03-24,208013
E92000001,England,nation,2021-03-23,134547
E92000001,England,nation,2021-03-22,64436
E92000001,England,nation,2021-03-21,30418
E92000001,England,nation,2021-03-20,70449
E92000001,England,nation,2021-03-19,100730
E92000001,England,nation,2021-03-18,104609
E92000001,England,nation,2021-03-17,90906
E92000001,England,nation,2021-03-16,62909
E92000001,England,nation,2021-03-15,32082
E92000001,England,nation,2021-03-14,14378
E92000001,England,nation,2021-03-13,38640
E92000001,England,nation,2021-03-12,67514
E92000001,England,nation,2021-03-11,69680
E92000001,England,nation,2021-03-10,70960
E92000001,England,nation,2021-03-09,47151
E92000001,England,nation,2021-03-08,23800
E92000001,England,nation,2021-03-07,9133
E92000001,England,nation,2021-03-06,21688
E92000001,England,nation,2021-03-05,37235
E92000001,England,nation,2021-03-04,45045
E92000001,England,nation,2021-03-03,44001
E92000001,England,nation,2021-03-02,27652
E92000001,England,nation,2021-03-01,12632
E92000001,England,nation,2021-02-28,9388
E92000001,England,nation,2021-02-27,15584
E92000001,England,nation,2021-02-26,16226
E92000001,England,nation,2021-02-25,16168
E92000001,England,nation,2021-02-24,14209
E92000001,England,nation,2021-02-23,9581
E92000001,England,nation,2021-02-22,5344
E92000001,England,nation,2021-02-21,2346
E92000001,England,nation,2021-02-20,2432
E92000001,England,nation,2021-02-19,3895
E92000001,England,nation,2021-02-18,4561
E92000001,England,nation,2021-02-17,4497
E92000001,England,nation,2021-02-16,3128
E92000001,England,nation,2021-02-15,1854
E92000001,England,nation,2021-02-14,837
E92000001,England,nation,2021-02-13,2186
E92000001,England,nation,2021-02-12,3733
E92000001,England,nation,2021-02-11,4646
E92000001,England,nation,2021-02-10,4092
E92000001,England,nation,2021-02-09,2173
E92000001,England,nation,2021-02-08,1419
E92000001,England,nation,2021-02-07,312
